"iso1","iso2","dist","weeks","pair_location"
"BARNARDS_ERR4920372","BARNARDS_ERR4920373",10405,6,"Same"
"BARNARDS_ERR4920372","BARNARDS_ERR4920374",10551,10,"Same"
"BARNARDS_ERR4920372","BARNARDS_ERR4920375",10452,11,"Same"
"BARNARDS_ERR4920372","BARNARDS_ERR4920376",10691,14,"Same"
"BARNARDS_ERR4920372","BARNARDS_ERR4920377",11342,39,"Same"
"BARNARDS_ERR4920372","BARNARDS_ERR4920378",10260,37,"Same"
"BARNARDS_ERR4920372","BARNARDS_ERR4920379",10392,32,"Same"
"BARNARDS_ERR4920372","BARNARDS_ERR4920380",10357,28,"Same"
"BARNARDS_ERR4920372","BARNARDS_ERR4920381",10204,18,"Same"
"BARNARDS_ERR4920372","BARNARDS_ERR4920382",11387,16,"Same"
"BARNARDS_ERR4920372","BARNARDS_ERR4920383",11387,14,"Same"
"BARNARDS_ERR4920372","BARNARDS_ERR4920384",4,13,"Same"
"BARNARDS_ERR4920372","BARNARDS_ERR4920385",11500,50,"Same"
"BARNARDS_ERR4920372","BARNARDS_ERR4920386",11385,12,"Same"
"BARNARDS_ERR4920372","BARNARDS_ERR4920387",11381,9,"Same"
"BARNARDS_ERR4920372","BARNARDS_ERR4920388",329,4,"Same"
"BARNARDS_ERR4920372","BARNARDS_ERR4920389",10606,49,"Different"
"BARNARDS_ERR4920372","BARNARDS_ERR4920390",10499,44,"Different"
"BARNARDS_ERR4920372","BARNARDS_ERR4920391",10693,4,"Different"
"BARNARDS_ERR4920372","BARNARDS_ERR4920392",9681,19,"Different"
"BARNARDS_ERR4920372","BARNARDS_ERR4920393",10524,24,"Different"
"BARNARDS_ERR4920372","BARNARDS_ERR4920394",9801,23,"Different"
"BARNARDS_ERR4920372","BARNARDS_ERR4920395",10037,26,"Different"
"BARNARDS_ERR4920372","BARNARDS_ERR4920396",9800,27,"Different"
"BARNARDS_ERR4920372","BARNARDS_ERR4920397",10627,27,"Different"
"BARNARDS_ERR4920372","BARNARDS_ERR4920398",10627,31,"Different"
"BARNARDS_ERR4920372","BARNARDS_ERR4920399",10637,32,"Different"
"BARNARDS_ERR4920372","BARNARDS_ERR4920400",11354,33,"Different"
"BARNARDS_ERR4920372","BARNARDS_ERR4920401",10637,32,"Different"
"BARNARDS_ERR4920372","BARNARDS_ERR4920402",11354,33,"Different"
"BARNARDS_ERR4920372","BARNARDS_ERR4920403",11337,34,"Different"
"BARNARDS_ERR4920372","BARNARDS_ERR4920404",9801,34,"Different"
"BARNARDS_ERR4920372","BARNARDS_ERR4920405",11354,34,"Different"
"BARNARDS_ERR4920372","BARNARDS_ERR4920406",9800,37,"Different"
"BARNARDS_ERR4920372","BARNARDS_ERR4920407",9800,35,"Different"
"BARNARDS_ERR4920372","BARNARDS_ERR4920408",9801,35,"Different"
"BARNARDS_ERR4920372","BARNARDS_ERR4920409",9801,35,"Different"
"BARNARDS_ERR4920372","BARNARDS_ERR4920410",11354,36,"Different"
"BARNARDS_ERR4920372","BARNARDS_ERR4920411",9800,36,"Different"
"BARNARDS_ERR4920372","BARNARDS_ERR4920412",9800,36,"Different"
"BARNARDS_ERR4920372","BARNARDS_ERR4920413",9800,38,"Different"
